"region","sector","Year","co2.emiss","scenario"
"AL","cement","1975",0.398131,"crt2030_80p_l_202502_global"
"AR","cement","1975",0.165106,"crt2030_80p_l_202502_global"
"AZ","cement","1975",0.13985,"crt2030_80p_l_202502_global"
"CA","cement","1975",1.2395,"crt2030_80p_l_202502_global"
"CO","cement","1975",0.0582999,"crt2030_80p_l_202502_global"
"FL","cement","1975",0.321596,"crt2030_80p_l_202502_global"
"GA","cement","1975",0.103447,"crt2030_80p_l_202502_global"
"HI","cement","1975",0.0272432,"crt2030_80p_l_202502_global"
"IA","cement","1975",0.26863,"crt2030_80p_l_202502_global"
"IL","cement","1975",0.311459,"crt2030_80p_l_202502_global"
"IN","cement","1975",0.321216,"crt2030_80p_l_202502_global"
"KS","cement","1975",0.213637,"crt2030_80p_l_202502_global"
"KY","cement","1975",0.126908,"crt2030_80p_l_202502_global"
"MD","cement","1975",0.232264,"crt2030_80p_l_202502_global"
"ME","cement","1975",0.0559843,"crt2030_80p_l_202502_global"
"MI","cement","1975",0.612528,"crt2030_80p_l_202502_global"
"MO","cement","1975",0.563997,"crt2030_80p_l_202502_global"
"MT","cement","1975",0.0690182,"crt2030_80p_l_202502_global"
"NE","cement","1975",0.0185551,"crt2030_80p_l_202502_global"
"NM","cement","1975",0.0356656,"crt2030_80p_l_202502_global"
"NV","cement","1975",0.0580151,"crt2030_80p_l_202502_global"
"NY","cement","1975",0.305146,"crt2030_80p_l_202502_global"
"OH","cement","1975",0.169795,"crt2030_80p_l_202502_global"
"OK","cement","1975",0.168781,"crt2030_80p_l_202502_global"
"PA","cement","1975",0.718206,"crt2030_80p_l_202502_global"
"SC","cement","1975",0.298788,"crt2030_80p_l_202502_global"
"SD","cement","1975",0.0199013,"crt2030_80p_l_202502_global"
"TN","cement","1975",0.161002,"crt2030_80p_l_202502_global"
"TX","cement","1975",0.946288,"crt2030_80p_l_202502_global"
"UT","cement","1975",0.143225,"crt2030_80p_l_202502_global"
"VA","cement","1975",0.0851679,"crt2030_80p_l_202502_global"
"WV","cement","1975",0.0841773,"crt2030_80p_l_202502_global"
"WY","cement","1975",0.0318568,"crt2030_80p_l_202502_global"
"USA","gas pipeline","1975",3.13957,"crt2030_80p_l_202502_global"
"CA","N fertilizer","1975",0.275631,"crt2030_80p_l_202502_global"
"FL","N fertilizer","1975",1.59092,"crt2030_80p_l_202502_global"
"GA","N fertilizer","1975",0.256798,"crt2030_80p_l_202502_global"
"IA","N fertilizer","1975",0.342255,"crt2030_80p_l_202502_global"
"LA","N fertilizer","1975",1.71844,"crt2030_80p_l_202502_global"
"MO","N fertilizer","1975",0.741614,"crt2030_80p_l_202502_global"
"NC","N fertilizer","1975",0.277035,"crt2030_80p_l_202502_global"
"OH","N fertilizer","1975",0.342663,"crt2030_80p_l_202502_global"
"TX","N fertilizer","1975",0.317776,"crt2030_80p_l_202502_global"
"AK","other industrial energy use","1975",0.840883,"crt2030_80p_l_202502_global"
"AL","other industrial energy use","1975",8.06729860181692,"crt2030_80p_l_202502_global"
"AR","other industrial energy use","1975",2.31005360592561,"crt2030_80p_l_202502_global"
"AZ","other industrial energy use","1975",0.987046113754401,"crt2030_80p_l_202502_global"
"CA","other industrial energy use","1975",11.4529779949902,"crt2030_80p_l_202502_global"
"CO","other industrial energy use","1975",2.28680265761733,"crt2030_80p_l_202502_global"
"CT","other industrial energy use","1975",1.0563351,"crt2030_80p_l_202502_global"
"DC","other industrial energy use","1975",0.21991823,"crt2030_80p_l_202502_global"
"DE","other industrial energy use","1975",0.4238051,"crt2030_80p_l_202502_global"
"FL","other industrial energy use","1975",2.15353932112671,"crt2030_80p_l_202502_global"
"GA","other industrial energy use","1975",2.9876271083808,"crt2030_80p_l_202502_global"
"HI","other industrial energy use","1975",0.17079586,"crt2030_80p_l_202502_global"
"IA","other industrial energy use","1975",2.96375014866992,"crt2030_80p_l_202502_global"
"ID","other industrial energy use","1975",0.962078,"crt2030_80p_l_202502_global"
"IL","other industrial energy use","1975",11.0978205219141,"crt2030_80p_l_202502_global"
"IN","other industrial energy use","1975",14.3406197927884,"crt2030_80p_l_202502_global"
"KS","other industrial energy use","1975",2.36926349234755,"crt2030_80p_l_202502_global"
"KY","other industrial energy use","1975",3.16866913462603,"crt2030_80p_l_202502_global"
"LA","other industrial energy use","1975",18.36158,"crt2030_80p_l_202502_global"
"MA","other industrial energy use","1975",1.7493278,"crt2030_80p_l_202502_global"
"MD","other industrial energy use","1975",3.48394894227053,"crt2030_80p_l_202502_global"
"ME","other industrial energy use","1975",0.49508894,"crt2030_80p_l_202502_global"
"MI","other industrial energy use","1975",10.3285895578037,"crt2030_80p_l_202502_global"
"MN","other industrial energy use","1975",3.2578,"crt2030_80p_l_202502_global"
"MO","other industrial energy use","1975",2.90487926884466,"crt2030_80p_l_202502_global"
"MS","other industrial energy use","1975",1.7158724,"crt2030_80p_l_202502_global"
"MT","other industrial energy use","1975",0.8139708,"crt2030_80p_l_202502_global"
"NC","other industrial energy use","1975",2.641268,"crt2030_80p_l_202502_global"
"ND","other industrial energy use","1975",0.595051,"crt2030_80p_l_202502_global"
"NE","other industrial energy use","1975",1.45023496174018,"crt2030_80p_l_202502_global"
"NH","other industrial energy use","1975",0.22908231,"crt2030_80p_l_202502_global"
"NJ","other industrial energy use","1975",2.6543915,"crt2030_80p_l_202502_global"
"NM","other industrial energy use","1975",1.60176003815415,"crt2030_80p_l_202502_global"
"NV","other industrial energy use","1975",0.2350317,"crt2030_80p_l_202502_global"
"NY","other industrial energy use","1975",7.73195958747004,"crt2030_80p_l_202502_global"
"OH","other industrial energy use","1975",18.1172399784251,"crt2030_80p_l_202502_global"
"OK","other industrial energy use","1975",2.96627233604831,"crt2030_80p_l_202502_global"
"OR","other industrial energy use","1975",1.3115085,"crt2030_80p_l_202502_global"
"PA","other industrial energy use","1975",21.7514300197896,"crt2030_80p_l_202502_global"
"RI","other industrial energy use","1975",0.25838823,"crt2030_80p_l_202502_global"
"SC","other industrial energy use","1975",1.92615226312082,"crt2030_80p_l_202502_global"
"SD","other industrial energy use","1975",0.322271537765611,"crt2030_80p_l_202502_global"
"TN","other industrial energy use","1975",3.10586363529085,"crt2030_80p_l_202502_global"
"TX","other industrial energy use","1975",36.846925528984,"crt2030_80p_l_202502_global"
"UT","other industrial energy use","1975",2.47306498083712,"crt2030_80p_l_202502_global"
"VA","other industrial energy use","1975",2.75313371508134,"crt2030_80p_l_202502_global"
"VT","other industrial energy use","1975",0.09489078,"crt2030_80p_l_202502_global"
"WA","other industrial energy use","1975",2.363523,"crt2030_80p_l_202502_global"
"WI","other industrial energy use","1975",3.933988,"crt2030_80p_l_202502_global"
"WV","other industrial energy use","1975",6.0431955669716,"crt2030_80p_l_202502_global"
"WY","other industrial energy use","1975",1.2780899,"crt2030_80p_l_202502_global"
"AL","process heat cement","1975",0.346416588183079,"crt2030_80p_l_202502_global"
"AR","process heat cement","1975",0.143659904074386,"crt2030_80p_l_202502_global"
"AZ","process heat cement","1975",0.121684836245599,"crt2030_80p_l_202502_global"
"CA","process heat cement","1975",1.07850040500979,"crt2030_80p_l_202502_global"
"CO","process heat cement","1975",0.0507272163826731,"crt2030_80p_l_202502_global"
